Reference	 Quantity	 Value	Digikey Part #
C1 C10 C11 C12 C13 C14 C2 C3 C4 C5 C6 C7 C8 C9 	14	.1uF	 399-4491-1-ND
D1 	1	Green LED	732-5008-ND
J1A J1B	2	AVG_Connector	1212-1149-ND
J2 	1	AUX_Connector	N/A
R1 R2 R3 R4 R5 	5	1k	CF18JT1K00CT-ND 
U1 U2 U3 U4 	4	74LS670_	296-34025-5-ND
U10 U11 	2	74LS244_	296-1653-5-ND
U12 	1	74LS02_	296-1627-5-ND
U13 	1	74LS04_	296-1629-5-ND
U14 	1	74LS74_	296-1668-5-ND
U5 	1	74LS191_	296-14886-5-ND 
U6 U7 U8 U9 	4	74LS193_	296-1649-5-ND
